IP 地址,2096,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.110.104,2096,4,0.00,32.01,0.00
103.172.110.100,2096,4,0.00,33.26,0.00
103.172.110.102,2096,4,0.00,33.28,0.00
103.172.110.120,2096,4,0.00,33.34,0.00
103.172.110.101,2096,4,0.00,34.02,0.00
103.172.110.104,2096,4,0.00,34.06,0.00
103.172.110.104,2096,4,0.00,34.15,0.00
103.172.110.109,2096,4,0.00,34.15,0.00
103.172.110.104,2096,4,0.00,34.41,0.00
103.172.110.109,2096,4,0.00,35.16,0.00
103.172.110.109,2096,4,0.00,35.34,0.00
103.172.110.102,2096,4,0.00,36.21,0.00
8.218.3.12,2096,4,0.00,36.86,0.00
103.172.110.104,2096,4,0.00,36.95,0.00
103.172.110.104,2096,4,0.00,38.04,0.00
103.172.110.104,2096,4,0.00,38.20,0.00
103.172.110.102,2096,4,0.00,38.40,0.00
103.172.110.100,2096,4,0.00,38.48,0.00
103.172.110.104,2096,4,0.00,38.62,0.00
103.172.110.103,2096,4,0.00,38.97,0.00
103.172.110.101,2096,4,0.00,39.07,0.00
103.172.110.109,2096,4,0.00,39.29,0.00
103.172.110.101,2096,4,0.00,39.85,0.00
103.172.110.101,2096,4,0.00,40.10,0.00
8.218.3.12,2096,4,0.00,41.17,0.00
103.172.110.109,2096,4,0.00,41.47,0.00
8.218.3.12,2096,4,0.00,41.49,0.00
103.172.110.104,2096,4,0.00,42.89,0.00
103.172.110.100,2096,4,0.00,43.47,0.00
103.172.110.101,2096,4,0.00,43.71,0.00
103.172.110.101,2096,4,0.00,44.65,0.00
8.218.3.12,2096,4,0.00,51.13,0.00
103.172.110.102,2096,4,0.00,53.05,0.00
47.243.179.249,2096,4,0.00,54.63,0.00
103.172.110.109,2096,4,0.00,62.56,0.00
103.172.110.97,2096,4,0.00,64.45,0.00
103.172.110.95,2096,4,0.00,65.98,0.00
103.172.110.99,2096,4,0.00,66.25,0.00
103.172.110.96,2096,4,0.00,66.40,0.00
103.172.110.96,2096,4,0.00,66.42,0.00
103.172.110.96,2096,4,0.00,66.66,0.00
103.172.110.98,2096,4,0.00,66.88,0.00
103.172.110.99,2096,4,0.00,66.99,0.00
103.172.110.99,2096,4,0.00,67.07,0.00
103.172.110.96,2096,4,0.00,67.09,0.00
103.172.110.98,2096,4,0.00,67.15,0.00
103.172.110.96,2096,4,0.00,67.20,0.00
103.172.110.99,2096,4,0.00,67.27,0.00
103.172.110.98,2096,4,0.00,67.85,0.00
103.172.110.95,2096,4,0.00,68.21,0.00
103.172.110.95,2096,4,0.00,68.45,0.00
103.172.110.98,2096,4,0.00,68.57,0.00
103.172.110.99,2096,4,0.00,69.30,0.00
103.172.110.99,2096,4,0.00,69.41,0.00
103.172.110.98,2096,4,0.00,69.58,0.00
103.172.110.97,2096,4,0.00,69.64,0.00
47.74.13.24,2096,4,0.00,69.97,0.00
103.172.110.96,2096,4,0.00,70.16,0.00
103.172.110.98,2096,4,0.00,70.17,0.00
103.172.110.95,2096,4,0.00,70.19,0.00
103.172.110.95,2096,4,0.00,70.32,0.00
103.172.110.99,2096,4,0.00,70.51,0.00
103.172.110.96,2096,4,0.00,70.52,0.00
47.74.13.24,2096,4,0.00,70.62,0.00
103.172.110.96,2096,4,0.00,70.88,0.00
103.172.110.97,2096,4,0.00,70.99,0.00
103.172.110.99,2096,4,0.00,71.09,0.00
103.172.110.98,2096,4,0.00,71.18,0.00
103.172.110.96,2096,4,0.00,71.27,0.00
103.172.110.99,2096,4,0.00,71.29,0.00
103.172.110.95,2096,4,0.00,71.35,0.00
103.172.110.98,2096,4,0.00,71.38,0.00
