IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.143.212,1,1,0.00,130.55,9.86
104.16.57.29,1,1,0.00,130.10,6.19
104.17.210.219,1,1,0.00,129.63,5.95
104.17.26.84,1,1,0.00,130.77,5.78
104.16.49.13,1,1,0.00,131.10,4.71
104.17.198.229,1,1,0.00,130.45,3.86
104.17.218.252,1,1,0.00,129.72,3.63
104.16.27.112,1,1,0.00,130.85,2.87
104.17.32.13,1,1,0.00,130.24,2.64
104.16.144.173,1,1,0.00,130.05,2.62
104.18.253.178,1,1,0.00,130.97,2.44
104.16.196.221,1,1,0.00,131.28,2.42
104.18.233.21,1,1,0.00,131.19,2.36
104.19.78.48,1,1,0.00,130.08,2.27
104.19.166.131,1,1,0.00,131.23,2.23
104.16.63.222,1,1,0.00,130.87,1.94
104.16.81.9,1,1,0.00,128.84,1.83
104.16.24.182,1,1,0.00,128.80,1.78
104.17.238.186,1,1,0.00,127.83,1.76
104.16.162.75,1,1,0.00,130.19,1.57
104.17.171.128,1,1,0.00,131.22,1.56
104.16.32.83,1,1,0.00,130.96,1.56
104.16.72.190,1,1,0.00,128.30,1.41
104.19.165.215,1,1,0.00,130.67,1.37
104.16.183.87,1,1,0.00,130.23,1.32
104.17.29.157,1,1,0.00,130.09,1.19
104.19.81.134,1,1,0.00,129.92,1.18
104.17.37.224,1,1,0.00,129.78,1.17
104.17.219.7,1,1,0.00,130.06,1.13
104.16.103.220,1,1,0.00,130.78,1.09
