IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.110.101,4,4,0.00,32.59,0.00
103.172.110.102,4,4,0.00,33.04,0.00
103.172.110.109,4,4,0.00,33.25,0.00
103.172.110.103,4,4,0.00,33.69,0.00
103.172.110.101,4,4,0.00,33.88,0.00
103.172.110.100,4,4,0.00,34.37,0.00
103.172.110.104,4,4,0.00,34.39,0.00
103.172.110.103,4,4,0.00,34.58,0.00
103.172.110.103,4,4,0.00,34.73,0.00
103.172.110.104,4,4,0.00,35.54,0.00
103.172.110.109,4,4,0.00,35.65,0.00
103.172.110.103,4,4,0.00,36.36,0.00
103.172.110.100,4,4,0.00,36.73,0.00
103.172.110.102,4,4,0.00,36.93,0.00
103.172.110.102,4,4,0.00,37.29,0.00
103.172.110.109,4,4,0.00,37.31,0.00
103.172.110.103,4,4,0.00,37.82,0.00
103.172.110.109,4,4,0.00,37.94,0.00
103.172.110.102,4,4,0.00,37.98,0.00
47.243.179.249,4,4,0.00,37.98,0.00
103.172.110.101,4,4,0.00,38.07,0.00
103.172.110.101,4,4,0.00,38.14,0.00
103.172.110.104,4,4,0.00,38.33,0.00
47.243.179.249,4,4,0.00,38.36,0.00
103.172.110.100,4,4,0.00,38.79,0.00
103.172.110.102,4,4,0.00,38.83,0.00
103.172.110.103,4,4,0.00,39.91,0.00
103.172.110.104,4,4,0.00,40.13,0.00
103.172.110.104,4,4,0.00,40.85,0.00
103.172.110.101,4,4,0.00,43.35,0.00
103.172.110.102,4,4,0.00,43.60,0.00
103.172.110.101,4,4,0.00,44.58,0.00
103.172.110.103,4,4,0.00,45.31,0.00
103.172.110.101,4,4,0.00,46.06,0.00
103.172.110.100,4,4,0.00,47.16,0.00
103.172.110.103,4,4,0.00,47.50,0.00
103.172.110.101,4,4,0.00,49.65,0.00
103.172.110.102,4,4,0.00,52.58,0.00
103.172.110.102,4,4,0.00,53.14,0.00
103.172.110.104,4,4,0.00,54.12,0.00
103.172.110.109,4,4,0.00,85.06,0.00
103.172.110.95,4,4,0.00,93.70,0.00
103.172.110.99,4,4,0.00,95.16,0.00
103.172.110.95,4,4,0.00,95.58,0.00
103.172.110.101,4,4,0.00,95.71,0.00
103.172.110.97,4,4,0.00,96.55,0.00
103.172.110.95,4,4,0.00,97.05,0.00
103.172.110.97,4,4,0.00,97.12,0.00
103.172.110.97,4,4,0.00,97.30,0.00
103.172.110.97,4,4,0.00,97.34,0.00
103.172.110.95,4,4,0.00,97.38,0.00
103.172.110.95,4,4,0.00,98.03,0.00
103.172.110.97,4,4,0.00,98.25,0.00
103.172.110.99,4,4,0.00,98.26,0.00
103.172.110.96,4,4,0.00,98.31,0.00
103.172.110.98,4,4,0.00,98.60,0.00
103.172.110.10,4,4,0.00,98.85,0.00
103.172.110.99,4,4,0.00,98.95,0.00
103.172.110.99,4,4,0.00,99.23,0.00
103.172.110.99,4,4,0.00,99.65,0.00
103.172.110.99,4,4,0.00,99.67,0.00
103.172.110.98,4,4,0.00,99.81,0.00
103.172.110.97,4,4,0.00,99.84,0.00
103.172.110.98,4,4,0.00,99.88,0.00
103.172.110.97,4,4,0.00,100.42,0.00
103.172.110.98,4,4,0.00,100.51,0.00
103.172.110.96,4,4,0.00,100.57,0.00
103.172.110.95,4,4,0.00,100.95,0.00
103.172.110.98,4,4,0.00,101.14,0.00
103.172.110.98,4,4,0.00,101.22,0.00
103.172.110.95,4,4,0.00,101.31,0.00
103.172.110.99,4,4,0.00,101.37,0.00
103.172.110.99,4,4,0.00,101.64,0.00
103.172.110.98,4,4,0.00,101.66,0.00
103.172.110.95,4,4,0.00,101.88,0.00
103.172.110.98,4,4,0.00,102.50,0.00
103.172.110.102,4,4,0.00,102.88,0.00
103.172.110.96,4,4,0.00,103.15,0.00
103.172.110.10,4,4,0.00,103.30,0.00
103.172.110.98,4,4,0.00,103.51,0.00
103.172.110.97,4,4,0.00,103.60,0.00
103.172.110.97,4,4,0.00,103.95,0.00
103.172.110.98,4,4,0.00,104.45,0.00
103.172.110.99,4,4,0.00,104.88,0.00
103.172.110.97,4,4,0.00,105.73,0.00
103.172.110.96,4,4,0.00,105.90,0.00
103.172.110.95,4,4,0.00,106.50,0.00
103.172.110.95,4,4,0.00,107.54,0.00
103.172.110.95,4,4,0.00,108.33,0.00
103.172.110.95,4,4,0.00,108.60,0.00
103.172.110.98,4,4,0.00,108.86,0.00
103.172.110.97,4,4,0.00,109.29,0.00
103.172.110.99,4,4,0.00,109.96,0.00
103.172.110.99,4,4,0.00,114.14,0.00
103.172.110.95,4,4,0.00,115.96,0.00
103.172.110.96,4,4,0.00,116.94,0.00
103.172.110.98,4,4,0.00,117.48,0.00
103.172.110.99,4,4,0.00,117.63,0.00
103.172.110.96,4,4,0.00,120.00,0.00
103.172.110.99,4,4,0.00,120.08,0.00
103.172.110.98,4,4,0.00,121.61,0.00
103.172.110.98,4,4,0.00,124.58,0.00
103.172.110.95,4,4,0.00,127.31,0.00
103.172.110.99,4,4,0.00,127.48,0.00
103.172.110.95,4,4,0.00,129.94,0.00
103.172.111.168,4,4,0.00,133.65,0.00
103.172.111.188,4,4,0.00,135.70,0.00
103.172.111.65,4,4,0.00,136.10,0.00
103.172.110.96,4,4,0.00,136.79,0.00
103.172.110.95,4,4,0.00,137.50,0.00
103.172.111.188,4,4,0.00,138.17,0.00
103.172.110.98,4,4,0.00,139.13,0.00
